Celsius,Valks
61.472,-139.74
70.579,-156.6
-7.3013,73.269
71.338,-165.42
43.236,-75.835
-10.246,83.437
7.8498,24.68
34.688,-55.108
75.751,-182.82
76.489,-183.46
-4.2387,61.973
77.059,-171.99
75.717,-175.83
28.538,-30.998
60.028,-142.49
-5.8114,66.37
22.176,-12.882
71.574,-150.58
59.221,-117.99
75.949,-174.92
45.574,-81.557
-16.429,103.46
64.913,-142.02
73.399,-156.32
47.874,-105.25
55.774,-133.38
54.313,-110.95
19.223,-3.1829
45.548,-80.032
-2.8813,58.486
50.605,-104.7
-16.817,98.051
7.6923,26.448
-15.383,98.098
-10.287,79.143
62.346,-122.73
49.483,-92.412
11.71,16.143
75.022,-171.65
-16.555,99.744
23.874,-15.686
18.156,-1.8801
56.552,-129.87
59.52,-111.75
-1.3127,54.276
28.976,-40.934
24.559,-23.508
44.631,-85.997
50.936,-94.78
55.469,-115.04
7.6025,25.08
47.97,-95.258
45.51,-87.107
-3.7388,60.614
-8.1002,74.247
29.836,-41.73
75.974,-186.09
14.039,8.7644
38.527,-62.516
2.3812,42.159
55.127,-100.09
5.5095,32.198
30.596,-49.374
49.908,-108.59
69.09,-140.64
75.929,-166.94
34.722,-50.735
-6.1376,69.075
-5.0706,64.106
5.7508,31.984
64.072,-127.1
5.4282,33.215
61.428,-134.07
4.3525,36.214
72.926,-178.19
14.998,1.3718
-0.34047,51.101
5.1084,35.183
41.604,-79.775
27.329,-27.032
15.166,8.774
63.083,-148.49
38.526,-65.58
34.972,-54.496
71.719,-182.57
8.5839,23.682
55.72,-121.09
55.373,-128.06
18.045,-7.4412
36.782,-62.04
-12.415,84.882
-14.605,91.536
33.08,-56.911
57.917,-107.37
73.401,-169.76
-7.0094,69.632
36.882,-71.24
26.939,-34.255
-18.81,106.43
13.712,9.1011
